Condition,Fluxes
WT,2.06412423481321
WT,2.06429132246555
WT,2.06332930710718
WT,2.06468780142121
WT,2.06541142700833
WT,2.0658512225758
WT,2.06652645032218
WT,2.06685294593174
WT,2.06628803574585
WT,2.06607213437778
WT,2.06630413493455
WT,2.06545449385823
WT,2.06398583131617
WT,2.06585461129072
WT,2.06405927826535
WT,2.06513332842337
WT,2.06548038276275
WT,2.06487074080404
WT,2.06564730871527
WT,2.06542794756933
WT,2.06616519949892
WT,2.06648763899813
WT,2.0661989497781
WT,2.06601250871665
WT,2.06739899040674
WT,2.06720971277091
WT,2.06742827547438
WT,2.06822078915508
WT,2.06790331525938
WT,2.06802540940084
WT,2.06777330818121
WT,2.06798642705875
WT,2.06773664053635
WT,2.06877866257785
WT,2.06862357999579
WT,2.06872923110516
WT,2.06939083478211
WT,2.06823678618574
WT,2.06815693073802
WT,2.06813812189099
WT,2.06834621287779
WT,2.06898306808225
WT,2.06809790479479
WT,2.06695691417326
WT,2.06854707907557
WT,2.0688087832132
WT,2.06776400486129
WT,2.06856677334908
WT,2.06773331182293
WT,2.06761227703846
WT,2.06712917192489
WT,2.06801696750959
WT,2.06728566823453
WT,2.06797289475479
WT,2.06831351144135
WT,2.0680134688635
WT,2.06910659394461
WT,2.0690352882345
WT,2.06857192241147
WT,2.06770148674813
WT,2.06852722218396
WT,2.06874443571145
WT,2.06840507559614
WT,2.06697672402402
WT,2.0676295364863
WT,2.06858203248116
WT,2.06686290706566
WT,2.06753183521184
WT,2.06735968303081
WT,2.06750641697879
WT,2.06757783218859
WT,2.06724327878794
WT,2.06785167194756
WT,2.06810389136017
WT,2.06887111291341
WT,2.06608575101659
WT,2.06659760511772
WT,2.06695583109144
WT,2.06755236179608
WT,2.06796187713427
WT,2.06623123221668
WT,2.06267045513902
WT,2.06223258949995
WT,2.06029159313406
WT,2.05939252936126
WT,2.06243860524166
WT,2.0627076383755
WT,2.0630599300128
WT,2.06250156587637
WT,2.06376230575686
WT,2.06359138780679
WT,2.06558757773234
WT,2.06519094561352
WT,2.06517737130474
WT,2.06597255349252
WT,2.06400993502105
WT,2.06380448531182
WT,2.06501523914794
WT,2.06471850095649
WT,2.06390623941957
WT,2.06508002558736
WT,2.06532859566131
WT,2.06551441332141
WT,2.06626035698622
WT,2.06480577516502
WT,2.0661210901408
WT,2.06612988340074
WT,2.0651102281917
WT,2.06622982366897
WT,2.06527155220576
WT,2.06660536011783
WT,2.06578903769455
WT,2.0665176474661
WT,2.06756630764609
WT,2.06794923744006
WT,2.06924212538667
WT,2.06812542593014
WT,2.06903595444293
WT,2.06906540071049
WT,2.06992765563046
WT,2.06919697453391
WT,2.0698956653783
WT,2.06801732422272
WT,2.06414572815046
WT,2.06630493662941
WT,2.06626124924899
WT,2.0669517927007
WT,2.06781234116249
WT,2.06673252512889
WT,2.06518611227671
WT,2.06691258234219
WT,2.0678021188419
WT,2.06731496344069
WT,2.06842445630906
WT,2.06726519071669
WT,2.06593878287797
WT,2.06770824813956
WT,2.06753614849994
WT,2.06515369237985
WT,2.06676655954187
WT,2.06671247287098
WT,2.06520891806732
WT,2.06659754583991
WT,2.06678237316767
WT,2.06703644645452
WT,2.06702830070119
WT,2.06782533483186
WT,2.06848099259586
WT,2.06845597920344
WT,2.06844723165374
WT,2.06866867416919
WT,2.06863715005996
WT,2.06897385731338
WT,2.06878488655477
WT,2.06859441965341
WT,2.0689120545832
WT,2.06845351889523
WT,2.06864810875369
WT,2.06712407163567
WT,2.06757296293711
WT,2.0676313925383
WT,2.06749308630828
WT,2.06681241889554
WT,2.06695424322413
WT,2.06603090921099
WT,2.06554045606905
WT,2.06445788709339
WT,2.06553159655711
WT,2.0662545704792
WT,2.06555941992728
WT,2.06634502425115
WT,2.06693083607814
WT,2.06722396376187
WT,2.06715530100534
WT,2.06642881724773
WT,2.06713791397911
WT,2.06617520626958
WT,2.06613295728693
WT,2.06804432391924
WT,2.06853868001993
WT,2.06822456896285
WT,2.06817527248989
WT,2.06901080558607
WT,2.06949230286074
WT,2.07023333208348
