Condition,Fluxes
WT,2.10505547749918e-08
WT,1.80076269339914e-09
WT,1.07011193964412e-08
WT,1.75585563857261e-08
WT,4.68397712123716e-08
WT,4.83723076460208e-08
WT,3.0592043415316e-09
WT,1.2385950632178e-08
WT,3.83859985146271e-08
WT,2.35973929423786e-09
WT,1.08437038071524e-08
WT,2.28260406332412e-08
WT,4.26987161450686e-09
WT,5.26437275677362e-09
WT,4.10120418033277e-09
WT,1.62440440614315e-09
WT,2.36746056783887e-08
WT,1.24011722696434e-08
WT,8.6355290528658e-09
WT,1.90352432678451e-08
WT,1.91063089771522e-08
WT,1.14334485577403e-10
WT,3.77068775526806e-09
WT,2.22499814042733e-08
WT,1.39941951837979e-08
WT,2.47463091385703e-08
WT,1.42540537704946e-11
WT,3.86826240370251e-08
WT,2.48403835356934e-08
WT,2.5850982713983e-09
WT,9.62655089884856e-09
WT,1.30258578228147e-08
WT,2.51032920914995e-09
WT,2.15199574278933e-08
WT,8.73381393518372e-09
WT,1.86564650899341e-08
WT,2.85998477545923e-08
WT,8.51804317853087e-09
WT,9.15812738880287e-08
WT,2.60518042068223e-08
WT,1.73816881639103e-08
WT,1.25660151412452e-08
WT,1.26989648062094e-07
WT,5.91003361957778e-08
WT,2.33978331424061e-08
WT,9.08030513282389e-09
WT,2.18299481881011e-08
WT,9.36915210621035e-09
WT,6.09228106303508e-08
WT,1.9257238431292e-09
WT,2.52250143923479e-08
WT,7.14683500996854e-09
WT,2.77505020440244e-08
WT,6.56467297970612e-08
WT,2.85054555670968e-08
WT,7.9724943912211e-08
WT,8.6373217428924e-08
WT,8.32108506911485e-08
WT,2.94338429889591e-08
WT,6.990536399137e-09
WT,4.49517307068005e-08
WT,2.34204197291877e-08
WT,9.18139697379235e-09
WT,4.61921194738009e-09
WT,7.53275702526549e-09
WT,5.18799063061875e-08
WT,9.85273988131305e-10
WT,4.47782106853193e-08
WT,6.45380277043949e-08
WT,1.06396091538753e-08
WT,3.13891530597775e-08
WT,1.37637990137313e-08
WT,2.53937421077772e-08
WT,3.38400863958582e-09
